Dwarf Lulu,Taurus/Indicus/Yak hybrid,—,—,—,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
East Anatolian Red,Taurus,—,—,Dairy,—,—,,,,,
Eastern Finncattle,Taurus,Finland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/a/ad/It%C3%A4suomenlehm%C3%A4_Ahlmanin_maatalouskoulun_pellolla.png     ,,,,
Eastern Red Polled,—,—,—,—,—,—,,,,,
Enderby Island cattle,Unknown,New Zealand,—,—,—,Feral,,,,,
English Longhorn,Taurus,England,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/English_Longhorn_cow_and_calf.jpg/800px-English_Longhorn_cow_and_calf.jpg     ,,,,
Ennstaler Bergscheck,Taurus,Austria,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ennstaler2.jpg/800px-Ennstaler2.jpg     ,,,,
Estonian Holstein,Taurus,Estonia,—,Dairy,—,—,,,,,
Estonian Native,—,Estonia,—,—,—,—,,,,,
Estonian Red cattle,Taurus,Estonia,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Lehm_Eesti_Maa%C3%BClikooli_laudas..jpg/800px-Lehm_Eesti_Maa%C3%BClikooli_laudas..jpg     ,,,,
Évolène cattle,Taurus,Switzerland,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Evolene_Cow.jpg/800px-Evolene_Cow.jpg     ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Finnish Ayrshire,—,Finland,—,—,—,, https://upload.wikimedia.org/wikipedia/commons/b/bf/Syyskuu2_2005_060b.jpg     ,,,,
Finncattle,Taurus,Finland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/L%C3%A4nsisuomenkarjaa_Ahlmanin_maatalouskoulun_pellolla.jpg/800px-L%C3%A4nsisuomenkarjaa_Ahlmanin_maatalouskoulun_pellolla.jpg     ,,,,
Finnish Holstein-Friesian,—,Finland,—,—,—,—,,,,,
Fjäll,Taurus,Sweden,Meat,Dairy,—,Also called Swedish Mountain, https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Fjallko.jpg/800px-Fjallko.jpg     ,,,,
Fleckvieh,Taurus,Austria,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Cow_%28Fleckvieh_breed%29_Oeschinensee_Slaunger_2009-07-07.jpg/800px-Cow_%28Fleckvieh_breed%29_Oeschinensee_Slaunger_2009-07-07.jpg     ,,,,
Florida Cracker cattle,Taurus,United States,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Florida_Cracker_cow_and_calf.JPG/800px-Florida_Cracker_cow_and_calf.JPG     ,,,,
Fogera,—,Ethiopia,Meat,Dairy,Draught,—,,,,,
French Simmental,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Simmental-vache.JPG/800px-Simmental-vache.JPG     ,,,,
Fribourgeoise,—,Switzerland,—,—,—,—, https://upload.wikimedia.org/wikipedia/commons/4/4d/Vache_fribourgeoise_1859.jpg     ,,,,
Friesian Red and White,Taurus,—,Meat,Dairy,—,—,,,,,
Fulani Sudanese,Indicus,—,Meat,Dairy,Draught,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Galician Blond,Taurus,Spain,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Vaca_rubia_en_Cumbraos_-_Mes%C3%ADa_-_Galiza.jpg/150px-Vaca_rubia_en_Cumbraos_-_Mes%C3%ADa_-_Galiza.jpg     ,,,,
Galloway cattle,Taurus,Scotland,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Galloway.jpg/1280px-Galloway.jpg     ,,,,
Gangatiri,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Gangatiri_02.JPG/1280px-Gangatiri_02.JPG     ,,,,
Gaolao,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Gaolao_02.JPG/150px-Gaolao_02.JPG     ,,,,
Garvonesa,Taurus,Portugal,Meat,—,Draught,—,,,,,
Gascon cattle,Taurus,France,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Gasconnes_Antignac_%2811%29.JPG/150px-Gasconnes_Antignac_%2811%29.JPG     ,,,,
Gelbvieh,Taurus,Germany,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Gelbvieh.jpg/1280px-Gelbvieh.jpg     ,,,,
Georgian Mountain cattle,Taurus,Georgia,Meat,Dairy,Draught,—,,,,,
German Angus,Taurus,Germany,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Deutsch-Angus-Bulle_Valentin_vom_Natur-Hof_Chemnitz_e.V..JPG/1280px-Deutsch-Angus-Bulle_Valentin_vom_Natur-Hof_Chemnitz_e.V..JPG     ,,,,
German Black Pied cattle,Taurus,Germany,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Schwarzbuntes_Rind.JPG/150px-Schwarzbuntes_Rind.JPG     ,,,,
German Black Pied Dairy,Taurus,Germany,—,Dairy,—,—,,,,,
German Red Pied,Taurus,Germany,Meat,Dairy,—,—,,,,,
Gir,Indicus,India,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Gir_01.JPG/150px-Gir_01.JPG     ,,,,
Glamorgan cattle,Taurus,England,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Da_morgannwgbach.jpg/150px-Da_morgannwgbach.jpg     ,,,,
Glan cattle,Taurus,Germany,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Glanrind3.jpg/150px-Glanrind3.jpg     ,,,,
